time	cp
3450	9.59499
3452	9.59479
3454	9.59486
3456	9.59517
3458	9.5948
3460	9.5951
3462	9.59581
3464	9.5961
3466	9.59599
3468	9.59612
3470	9.59557
3472	9.59553
3474	9.59529
3476	9.59564
3478	9.59592
3480	9.59613
3482	9.59585
3484	9.59567
3486	9.59541
3488	9.59603
3490	9.59549
3492	9.59414
3494	9.59415
3496	9.59539
3498	9.59605
3500	9.59657
3502	9.5964
3504	9.59604
3506	9.59643
3508	9.59625
3510	9.59605
3512	9.59626
3514	9.59735
3516	9.59805
3518	9.59733
3520	9.59683
3522	9.59725
3524	9.59775
3526	9.59783
3528	9.59677
3530	9.59685
3532	9.59605
3534	9.59591
3536	9.59549
3538	9.59608
3540	9.59606
3542	9.59609
3544	9.59637
3546	9.59572
3548	9.59637
3550	9.59557
3552	9.59578
3554	9.5962
3556	9.59685
3558	9.59668
3560	9.59641
3562	9.59697
3564	9.59782
3566	9.59734
3568	9.59779
3570	9.59806
3572	9.59736
3574	9.5969
3576	9.59787
3578	9.59845
3580	9.59866
3582	9.59825
3584	9.59779
3586	9.59727
3588	9.5974
3590	9.59781
3592	9.59805
3594	9.59877
3596	9.59792
3598	9.59756
3600	9.59721
3602	9.59806
3604	9.59802
3606	9.59639
3608	9.59384
3610	9.59077
3612	9.58799
3614	9.58454
3616	9.58262
3618	9.57932
3620	9.57581
3622	9.57202
3624	9.56932
